Name, NischitTest0, NischitTest1, NischitTest2, NischitTest3, NischitTest4, NischitTest5, NischitTest6, NischitTest7, 
NischitTest0.NischitTest0method0, 0, 1, 0, 1, 0, 0, 0, 0, 
NischitTest0.NischitTest0method1, 0, 1, 0, 1, 0, 0, 0, 0, 
NischitTest0.NischitTest0method2, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method3, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method4, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method5, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method6, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method7, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method8, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method9, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method10, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method11, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method12, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method13, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method14, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method15, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method16, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method17, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest0.NischitTest0method18, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest1.NischitTestInterface2Method0, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest1.NischitTest1method0, 0, 0, 0, 1, 0, 0, 0, 0, 
NischitTest1.NischitTest1method1, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest1.NischitTest1method2, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest1.NischitTest1method3, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest1.NischitTest1method4, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest1.NischitTest1method5, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest1.NischitTest1method6, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest1.NischitTest1method7, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest1.NischitTest1method8, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest1.NischitTest1method9, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest1.NischitTest1method10, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest1.NischitTest1method11, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest1.NischitTest1method12, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest2.NischitTestInterface0Method0, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest2.NischitTestInterface0Method1, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest2.NischitTestInterface0Method2, 1, 1, 0, 1, 0, 0, 0, 0, 
NischitTest2.NischitTest2method0, 1, 1, 0, 1, 0, 0, 0, 0, 
NischitTest2.NischitTest2method1, 1, 1, 0, 1, 0, 0, 0, 0, 
NischitTest2.NischitTest2method2, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest2.NischitTest2method3, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest2.NischitTest2method4, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest2.NischitTest2method5, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest2.NischitTest2method6, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest2.NischitTest2method7, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest2.NischitTest2method8, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest2.NischitTest2method9, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest2.NischitTest2method10, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest2.NischitTest2method11, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest2.NischitTest2method12, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest3.NischitTest3method0, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest3.NischitTest3method1, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest3.NischitTest3method2, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest3.NischitTest3method3, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest3.NischitTest3method4, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest3.NischitTest3method5, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest3.NischitTest3method6, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest3.NischitTest3method7, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest3.NischitTest3method8, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest3.NischitTest3method9, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest3.NischitTest3method10, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest3.NischitTest3method11, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest3.NischitTest3method12, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest4.NischitTestInterface0Method0, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest4.NischitTestInterface0Method1, 1, 1, 0, 1, 0, 0, 0, 0, 
NischitTest4.NischitTestInterface0Method2, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest4.NischitTest4method0, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest4.NischitTest4method1, 1, 1, 0, 1, 0, 0, 0, 0, 
NischitTest4.NischitTest4method2, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest4.NischitTest4method3, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest4.NischitTest4method4, 1, 1, 0, 1, 0, 0, 0, 0, 
NischitTest4.NischitTest4method5, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest4.NischitTest4method6, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest4.NischitTest4method7, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest4.NischitTest4method8, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest4.NischitTest4method9, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest4.NischitTest4method10, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest4.NischitTest4method11, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest4.NischitTest4method12, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest5.NischitTestInterface1Method0, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest5.NischitTest5method0, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest5.NischitTest5method1, 1, 1, 0, 1, 0, 0, 0, 0, 
NischitTest5.NischitTest5method2, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest5.NischitTest5method3, 1, 1, 0, 1, 0, 0, 0, 0, 
NischitTest5.NischitTest5method4, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest5.NischitTest5method5, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest5.NischitTest5method6, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest5.NischitTest5method7, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest5.NischitTest5method8, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest5.NischitTest5method9, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest5.NischitTest5method10, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest5.NischitTest5method11, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest5.NischitTest5method12, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest6.NischitTest6method0, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest6.NischitTest6method1, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest6.NischitTest6method2, 1, 1, 0, 1, 0, 0, 0, 0, 
NischitTest6.NischitTest6method3, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest6.NischitTest6method4, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest6.NischitTest6method5, 1, 1, 0, 1, 0, 0, 0, 0, 
NischitTest6.NischitTest6method6, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest6.NischitTest6method7, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest6.NischitTest6method8, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest6.NischitTest6method9, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest6.NischitTest6method10, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest6.NischitTest6method11, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest6.NischitTest6method12, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest7.NischitTestInterface2Method0, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest7.NischitTestInterface1Method0, 1, 1, 0, 1, 0, 0, 0, 0, 
NischitTest7.NischitTest7method0, 1, 1, 0, 1, 0, 0, 0, 0, 
NischitTest7.NischitTest7method1, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest7.NischitTest7method2, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest7.NischitTest6method1, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest7.NischitTest7method4, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest7.NischitTest7method5, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest7.NischitTest7method6, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest7.NischitTest7method7, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest7.NischitTest7method8, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest7.NischitTest7method9, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest7.NischitTest7method10, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest7.NischitTest6method10, 0, 0, 0, 0, 0, 0, 0, 0, 
NischitTest7.NischitTest6method9, 0, 0, 0, 0, 0, 0, 0, 0, 